org1,org2,dst
Lagenorhynchus obliquidens,Physeter catodon,0.020979992589848093
Balearica regulorum,Fulmarus glacialis,0.021040482954545456
Serinus canaria,Taeniopygia guttata,0.021062864549578744
Lipotes vexillifer,Physeter catodon,0.021092278719397364
Nomascus leucogenys,Pan paniscus,0.021134453781512606
Bison bison,Ovis aries,0.021177279874213837
Balaenoptera acutorostrata,Physeter catodon,0.021204933586337762
Callorhinus ursinus,Leptonychotes weddellii,0.02123397435897436
Poecilia formosa,Xiphophorus couchianus,0.021266540642722116
Pelecanus crispus,Pygoscelis adeliae,0.021358543417366947
Poecilia formosa,Xiphophorus maculatus,0.021364494806421153
Erythrura gouldiae,Lonchura striata,0.021397220190197512
Cariama cristata,Fulmarus glacialis,0.02142857142857143
Gorilla gorilla,Nomascus leucogenys,0.021471876052542943
Balaenoptera acutorostrata,Delphinapterus leucas,0.02149772209567198
Bison bison,Capra hircus,0.021567075583696083
Balearica regulorum,Pelecanus crispus,0.021607142857142856
Aptenodytes forsteri,Haliaeetus leucocephalus,0.021708015267175574
Egretta garzetta,Haliaeetus albicilla,0.021746694502435628
Lonchura striata,Pseudopodoces humilis,0.021806853582554516
Poecilia reticulata,Xiphophorus maculatus,0.021853986551392892
Aptenodytes forsteri,Pelecanus crispus,0.02189655172413793
Chelonia mydas,Chrysemys picta,0.021904205607476634
Balaenoptera acutorostrata,Monodon monoceros,0.02191404770920106
Poecilia mexicana,Xiphophorus maculatus,0.021940227703984818
Pseudopodoces humilis,Zosterops borbonicus,0.021965865992414665
Parus major,Sturnus vulgaris,0.022077713551701992
Apteryx australis,Struthio camelus,0.02208361429534727
Egretta garzetta,Nipponia nippon,0.022140522875816995
Charadrius vociferus,Haliaeetus albicilla,0.0221606648199446
Poecilia latipinna,Xiphophorus maculatus,0.022169811320754716
Gavia stellata,Pelecanus crispus,0.02218181818181818
Phalacrocorax carbo,Pygoscelis adeliae,0.022295845272206304
Poecilia latipinna,Xiphophorus couchianus,0.022308781869688384
Poecilia mexicana,Xiphophorus couchianus,0.02231718898385565
Neolamprologus brichardi,Oreochromis niloticus,0.0223342939481268
Gavia stellata,Pygoscelis adeliae,0.022343420126671357
Fulmarus glacialis,Leptosomus discolor,0.022344322344322345
Sturnus vulgaris,Taeniopygia guttata,0.022375079063883616
Lonchura striata,Sturnus vulgaris,0.022383354350567465
Fulmarus glacialis,Tyto alba,0.02251494768310912
Oncorhynchus nerka,Oncorhynchus tshawytscha,0.022517039922103212
Cebus capucinus,Saimiri boliviensis,0.02253890392422192
Neophocaena asiaeorientalis,Physeter catodon,0.022603383458646615
Balaenoptera acutorostrata,Orcinus orca,0.022609942638623325
Charadrius vociferus,Fulmarus glacialis,0.02268005540166205
Aotus nancymaae,Cebus capucinus,0.022708333333333334
Fulmarus glacialis,Phaethon lepturus,0.022735378031383736
Alligator mississippiensis,Crocodylus porosus,0.022741530740276034
Alligator sinensis,Crocodylus porosus,0.02274193548387097
Corvus brachyrhynchos,Cyanistes caeruleus,0.02277327935222672
Charadrius vociferus,Pygoscelis adeliae,0.022795092838196286
Haliaeetus albicilla,Nipponia nippon,0.022860593512767424
Ficedula albicollis,Serinus canaria,0.022870924817032602
Cariama cristata,Pygoscelis adeliae,0.022878681626928472
Egretta garzetta,Pelecanus crispus,0.02291812456263121
Pelecanus crispus,Tyto alba,0.022924528301886793
Balearica regulorum,Egretta garzetta,0.022932592077831826
Haliaeetus albicilla,Phalacrocorax carbo,0.022934941520467836
Leptosomus discolor,Pygoscelis adeliae,0.022944720056697378
Aptenodytes forsteri,Balearica regulorum,0.022960932145305004
Egretta garzetta,Phalacrocorax carbo,0.02297925608011445
Balaenoptera acutorostrata,Lipotes vexillifer,0.023003472222222224
Balaenoptera acutorostrata,Neophocaena asiaeorientalis,0.023030072325846973
Gavia stellata,Haliaeetus albicilla,0.02304772234273319
Charadrius vociferus,Nipponia nippon,0.023058252427184466
Phaethon lepturus,Pygoscelis adeliae,0.023058252427184466
Fulmarus glacialis,Phalacrocorax carbo,0.023178807947019868
Balaenoptera acutorostrata,Lagenorhynchus obliquidens,0.02321496391948348
Nipponia nippon,Pygoscelis adeliae,0.023257725180802102
Apteryx rowi,Struthio camelus,0.02326343381389253
Pygoscelis adeliae,Tyto alba,0.023266423357664233
Corvus cornix,Serinus canaria,0.02330063069376314
Coturnix japonica,Numida meleagris,0.02334384858044164
Cariama cristata,Haliaeetus albicilla,0.023409255242227044
Haliaeetus albicilla,Tyto alba,0.023460682492581604
Aptenodytes forsteri,Gavia stellata,0.02353044086773968
Parus major,Serinus canaria,0.023591087811271297
Callipepla squamata,Numida meleagris,0.023629148629148628
Bubalus bubalis,Odocoileus virginianus,0.02366807205825987
Egretta garzetta,Leptosomus discolor,0.023674911660777384
Coturnix japonica,Meleagris gallopavo,0.023744911804613297
Cyanistes caeruleus,Serinus canaria,0.023749154834347534
Pteropus vampyrus,Rousettus aegyptiacus,0.023770649250864386
Aquila chrysaetos,Pygoscelis adeliae,0.02380562827225131
Charadrius vociferus,Egretta garzetta,0.02384105960264901
Aptenodytes forsteri,Charadrius vociferus,0.023848150551589876
Takifugu bimaculatus,Takifugu rubripes,0.023853944562899788
Aquila chrysaetos,Calidris pugnax,0.02386150966936993
Ficedula albicollis,Sturnus vulgaris,0.023894668400520156
Bos taurus,Odocoileus virginianus,0.023909716908951797
Aquila chrysaetos,Falco peregrinus,0.02391234804862444
Pygoscelis adeliae,Tauraco erythrolophus,0.023915362731152204
Phoenicopterus ruber,Pygoscelis adeliae,0.023971000935453696
Cariama cristata,Pelecanus crispus,0.024028077753779697
Aptenodytes forsteri,Cariama cristata,0.024051724137931035
Fulmarus glacialis,Nipponia nippon,0.02406832298136646
Geospiza fortis,Taeniopygia guttata,0.024125756556825823
Aotus nancymaae,Saimiri boliviensis,0.02414965986394558
Haliaeetus albicilla,Leptosomus discolor,0.024158125915080528
Fulmarus glacialis,Tauraco erythrolophus,0.024193548387096774
Parus major,Zosterops borbonicus,0.02419882275997384
Macaca fascicularis,Pongo abelii,0.024220226843100188
Aquila chrysaetos,Fulmarus glacialis,0.02422945205479452
Corvus brachyrhynchos,Serinus canaria,0.024231283422459893
Collichthys lucidus,Larimichthys crocea,0.024242424242424242
Balearica regulorum,Gavia stellata,0.024257784214337438
Cariama cristata,Egretta garzetta,0.024283717679944094
Haliaeetus albicilla,Phaethon lepturus,0.024335488505747127
Pseudopodoces humilis,Serinus canaria,0.02437056165267915
Pteropus alecto,Rousettus aegyptiacus,0.024416635302973277
Aptenodytes forsteri,Leptosomus discolor,0.024456521739130436
Geospiza fortis,Lonchura striata,0.024462004034969738
Macaca mulatta,Pongo abelii,0.02446841776110069
Cyanistes caeruleus,Geospiza fortis,0.024469541409993155
Aquila chrysaetos,Falco cherrug,0.024470474967907573
